Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Price_Clean,Total_Price,Clean_Tx_ID,Refund_Amount,Status,Is_Returned,Extracted_Order_ID,Ticket_Count
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.20,1,Paid,919.2,919.2,,,,0,,0.0
100061,2023-11-17,C0002,Electronics,Laptop X,"1598,23 EUR",1,Paid,1598.23,1598.23,,,,0,,0.0
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,23.86,,,,0,101131.0,4.0
100391,,C0001,Smart Home,NordTherm,$101.68,1,Paid,101.68,101.68,,,,0,,0.0
100319,2023-11-27,C0004,Accessories,Phone Case,"35,72 EUR",1,Paid,35.72,35.72,,,,0,,0.0
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,230.36,,,,0,,0.0
100105,2023-11-19,C0056,Smart Home,NordCam Mini,"82,40 EUR",1,Paid,82.4,82.4,,,,0,,0.0
100603,2023-12-04,C0002,Electronics,Laptop X,"1771,94 EUR",1,Paid,1771.94,1771.94,,,,0,,0.0
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,210.88,210.88,,,,0,,0.0
100563,2023-12-03,C0008,Electronics ,Smartphone Z,855.14,1,Paid,855.14,855.14,100563.0,855.14,Processed,1,,0.0
100366,2023-11-28,C0004, Electronics ,Smartphone Z,1024.64,1,Paid,1024.64,1024.64,,,,0,,0.0
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,222.61,222.61,,,,0,,0.0
100043,,C0002,Electronics ,TV Pro,$1164.30,1,Paid,1164.3,1164.3,,,,0,,0.0
100725,2023-12-06,C0003, Accessories,Laptop Sleeve,27.13,2,Paid,27.13,54.26,,,,0,,0.0
100456,2023-11-30,C0001, Smart Home ,NordTherm,"105,45 EUR",1,Paid,105.45,105.45,,,,0,,0.0
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,"290,46 EUR",1,Paid,290.46,290.46,,,,0,100537.0,1.0
101176,2023-11-24,C0017,Accessories,Phone Case,"34,84 EUR",1,Paid,34.84,34.84,,,,0,,0.0
101058,2023-12-13,C0001,Electronics,Laptop X,"1504,82 EUR",1,Paid,1504.82,1504.82,,,,0,,0.0
100032,2023-11-16,C0094,Electronics,Laptop X,$1585.05,1,Paid,1585.05,1585.05,,,,0,,0.0
100455,2023-11-30,C0117, Smart Home ,NordLock Pro,205.04,2,Paid,205.04,410.08,,,,0,100455.0,3.0
100354,2023-11-28,C0002, Smart Home ,NordLock Pro,"201,09 EUR",1,Paid,201.09,201.09,,,,0,,0.0
101181,,C0006,Accessories,Accessory Bundle,27.11,1,Paid,27.11,27.11,,,,0,,0.0
100062,,C0001, Smart Home ,NordLock Pro,221.97,1,Paid,221.97,221.97,,,,0,,0.0
100858,,C0001,Electronics,TV Pro,1060.25,1,Failed,1060.25,1060.25,,,,0,,0.0
101049,2023-12-13,C0001, Electronics ,NoiseCancel Headphones,288,1,Paid,288.0,288.0,,,,0,,0.0
100686,2023-12-05,C0059,Electronics,Tablet A,753.90,1,Paid,753.9,753.9,,,,0,100686.0,2.0
100233,,C0278,Electronics,TV Pro,1041.16,1,Paid,1041.16,1041.16,,,,0,,0.0
100094,2023-11-18,C0076, Accessories ,Charger,"28,32 EUR",3,Paid,28.32,84.96000000000001,,,,0,,0.0
100215,,C0063,Electronics,Smartphone Z,1077.99,1,Paid,1077.99,1077.99,,,,0,,0.0
100310,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,1601.36,1601.36,,,,0,,0.0
100202,2023-11-23,C0002, Smart Home ,NordLock Pro,$186.48,1,Pending,186.48,186.48,,,,0,,0.0
100290,2023-11-25,C0002, Accessories ,Phone Case,12.32,1,Paid,12.32,12.32,,,,0,,0.0
100737,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,672.16,672.16,,,,0,,0.0
100318,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,727.66,727.66,,,,0,,0.0
101141,,C0038, Accessories ,Accessory Bundle,55.24,3,Paid,55.24,165.72,,,,0,,0.0
100891,2023-12-09,C0008,Smart Home,NordLock Pro,"212,31 EUR",2,Paid,212.31,424.62,,,,0,,0.0
101188,2023-12-10,C0062, Accessories ,Wireless Mouse,32.09,1,Paid,32.09,32.09,,,,0,,0.0
100096,2023-11-18,C0001,Electronics,NoiseCancel Headphones,"166,52 EUR",1,Paid,166.52,166.52,,,,0,,0.0
100880,2023-12-09,C0001,Smart Home,NordLock Pro,231.50,1,Paid,231.5,231.5,,,,0,,0.0
100070,2023-11-17,C0124,Accessories,Accessory Bundle,"86,79 EUR",1,Paid,86.79,86.79,,,,0,100070.0,1.0
100797,,C0097,Electronics,Tablet A,583.65,1,Paid,583.65,583.65,,,,0,,0.0
100721,2023-12-06,C0085,Smart Home,NordLock Pro,"200,26 EUR",1,Paid,200.26,200.26,,,,0,100721.0,2.0
